player_id,short_name,overall,potential,value_eur,wage_eur,age,club_team_id,club_name,league_id,league_name,club_position,nationality_name,release_clause_eur,pace,shooting,passing,dribbling,defending,physic,first_position,ST,CM,CF,GK,LW,CDM,CB,RW,CAM,RB,RM,LB,LM,LWB,RWB,forward_1,forward_2,forward_3,forward_4,forward_5,skill_forward_1,skill_forward_2,skill_forward_3,skill_forward_4,skill_forward_5,x
178005,Rui Patrício,81,81,2.9e6,36000.0,35,52,Roma,31.0,Serie A,GK,Portugal,4900000,0,0,0,0,0,0,GK,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,80.0,79.0,78.0,77.0,76.0,80.0,79.0,78.0,77.0,76.0,x[178005]
173426,S. Mignolet,80,80,2.3e6,14000.0,35,231,Club Brugge,4.0,Jupiler Pro League,GK,Belgium,3500000,0,0,0,0,0,0,GK,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,79.0,78.0,77.0,76.0,75.0,79.0,78.0,77.0,76.0,75.0,x[173426]
230168,Emelvinson,79,79,1.9e6,11000.0,35,112472,Bragantino,7.0,Serie A,GK,Brazil,3600000,0,0,0,0,0,0,GK,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,78.0,77.0,76.0,75.0,74.0,78.0,77.0,76.0,75.0,74.0,x[230168]
172871,J. Vertonghen,79,79,3.1e6,20000.0,36,229,Anderlecht,4.0,Jupiler Pro League,LCB,Belgium,4700000,65,61,72,66,81,78,CB,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,76.0,75.0,74.0,73.0,72.0,78.0,77.0,76.0,75.0,74.0,x[172871]
173521,Marcano,77,77,1.9e6,10000.0,36,236,Porto,308.0,Liga Portugal,LCB,Spain,3800000,50,46,60,59,79,71,CB,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,74.0,73.0,72.0,71.0,70.0,76.0,75.0,74.0,73.0,72.0,x[173521]
199206,D. Vida,75,75,1.8e6,1000.0,34,278,AEK Athens,63.0,Super League,RCB,Croatia,3800000,70,40,58,59,77,79,CB,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,74.0,73.0,72.0,71.0,70.0,76.0,75.0,74.0,73.0,72.0,x[199206]
205590,Luís Hernández,75,75,1.8e6,25000.0,34,1968,Cádiz,53.0,La Liga,RCB,Spain,3800000,62,50,64,65,74,78,CB,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,74.0,73.0,72.0,71.0,70.0,73.0,72.0,71.0,70.0,69.0,x[205590]
223033,Jorge Meré,72,77,3.1e6,19000.0,26,1968,Cádiz,53.0,La Liga,SUB,Spain,6700000,68,38,53,64,73,72,CB,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,73.25,74.5,75.75,77.0,77.0,74.25,75.5,76.75,78.0,78.0,x[223033]
237255,M. Robinson,72,77,3.1e6,6000.0,26,112885,Atlanta United,39.0,Major League Soccer,RCB,United States,4900000,82,35,54,67,70,78,CB,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,73.25,74.5,75.75,77.0,77.0,71.25,72.5,73.75,75.0,75.0,x[237255]
246947,P. Akouokou,72,78,3.3e6,20000.0,25,66,Olympique Lyonnais,16.0,Ligue 1,SUB,Côte d'Ivoire,6900000,56,56,68,70,71,63,CDM,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,73.5,75.0,76.5,78.0,78.0,69.5,71.0,72.5,74.0,74.0,x[246947]
229337,Matheus Pereira,71,77,2.6e6,6000.0,25,467,SD Eibar,54.0,La Liga 2,LDM,Brazil,4700000,67,64,69,75,66,68,CDM,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,72.5,74.0,75.5,77.0,77.0,70.5,72.0,73.5,75.0,75.0,x[229337]
238222,F. Beijmo,72,77,3.2e6,10000.0,25,271,AGF,1.0,Superliga,RWB,Sweden,4400000,85,51,64,68,64,76,RWB,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,73.66666666666667,75.33333333333333,77.0,77.0,77.0,77.66666666666669,79.33333333333331,81.0,81.0,81.0,x[238222]
247686,Cho Gue Sung,72,77,3.5e6,20000.0,25,1516,Midtjylland,1.0,Superliga,RS,Korea Republic,4800000,80,71,51,68,30,80,ST,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,73.66666666666667,75.33333333333333,77.0,77.0,77.0,72.66666666666669,74.33333333333331,76.0,76.0,76.0,x[247686]
268511,W. Cheddira,72,77,3.5e6,33000.0,25,111657,Frosinone,31.0,Serie A,ST,Morocco,0,86,71,64,68,40,76,ST,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,73.66666666666667,75.33333333333333,77.0,77.0,77.0,72.66666666666669,74.33333333333331,76.0,76.0,76.0,x[268511]
251756,R. Nteka,71,76,2.8e6,13000.0,25,480,Rayo Vallecano,53.0,La Liga,SUB,France,6100000,72,70,64,71,54,83,ST,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,72.66666666666667,74.33333333333333,76.0,76.0,76.0,71.66666666666669,73.33333333333331,75.0,75.0,75.0,x[251756]
269953,B. Miovski,70,76,2.5e6,5000.0,24,77,Aberdeen,50.0,Premiership,RS,North Macedonia,4900000,68,71,50,65,28,65,ST,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,71.5,73.0,74.5,76.0,76.0,72.5,74.0,75.5,77.0,77.0,x[269953]
212100,M. Lowe,72,75,2.8e6,22000.0,26,1794,Sheffield United,13.0,Premier League,LWB,England,5800000,80,46,63,73,69,67,LWB,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,73.5,75.0,75.0,75.0,75.0,68.5,70.0,70.0,70.0,70.0,x[212100]
252000,D. Bradarić,71,77,2.8e6,15000.0,23,110373,Salernitana,31.0,Serie A,LM,Croatia,5600000,77,55,65,69,68,66,LWB,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,72.2,73.4,74.6,75.8,77.0,67.19999999999999,68.4,69.6,70.80000000000001,72.0,x[252000]
240020,Ricardo Mangas,70,75,2.2e6,6000.0,25,1887,Vitória SC,308.0,Liga Portugal,LWB,Portugal,4800000,71,46,61,68,65,74,LWB,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false,71.66666666666667,73.33333333333333,75.0,75.0,75.0,75.66666666666669,77.33333333333331,79.0,79.0,79.0,x[240020]
229991,Fran Villalba,71,76,2.8e6,7000.0,25,459,Sporting Gijón,54.0,La Liga 2,CAM,Spain,4700000,71,62,73,74,48,42,CAM,false,false,false,false,false,false,false,false,true,false,false,false,false,false,false,72.66666666666667,74.33333333333333,76.0,76.0,76.0,74.66666666666669,76.33333333333331,78.0,78.0,78.0,x[229991]
241238,J. Deminguet,71,76,2.7e6,14000.0,25,76,Strasbourg,16.0,Ligue 1,SUB,France,5600000,73,63,71,73,62,74,CM,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,72.66666666666667,74.33333333333333,76.0,76.0,76.0,72.66666666666669,74.33333333333331,76.0,76.0,76.0,x[241238]
244393,Gonzalo Villar,71,76,2.7e6,12000.0,25,110832,Granada,53.0,La Liga,SUB,Spain,6100000,51,57,71,75,66,66,CM,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,72.66666666666667,74.33333333333333,76.0,76.0,76.0,72.66666666666669,74.33333333333331,76.0,76.0,76.0,x[244393]
268683,M. Folorunsho,71,76,2.7e6,27000.0,25,206,Hellas Verona,31.0,Serie A,LF,Italy,0,72,68,68,71,53,79,CM,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,72.66666666666667,74.33333333333333,76.0,76.0,76.0,69.66666666666669,71.33333333333331,73.0,73.0,73.0,x[268683]
241278,O. Moruțan,70,76,2.5e6,8000.0,24,101007,Ankaragücü,68.0,Super Lig,RM,Romania,5500000,74,69,68,73,46,55,CF,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,71.5,73.0,74.5,76.0,76.0,70.5,72.0,73.5,75.0,75.0,x[241278]
243016,Alberto Soro,70,76,2.5e6,10000.0,24,111539,Vizela,308.0,Liga Portugal,SUB,Spain,0,77,63,68,71,44,61,RM,false,false,false,false,false,false,false,false,false,false,true,false,false,false,false,72.0,74.0,76.0,76.0,76.0,70.0,72.0,74.0,74.0,74.0,x[243016]
